Date,Event,Status
4/19/2024, 5:42:36 PM,Server Shutdown,Successful
4/19/2024, 5:42:36 PM,Server Shutdown,Successful
4/19/2024, 5:43:50 PM,Server Start,Successful
4/19/2024, 5:43:55 PM,Server Shutdown,Successful
4/19/2024, 6:23:06 PM,Server Start,Successful
4/19/2024, 6:23:41 PM,Server Start,Successful
4/19/2024, 6:25:00 PM,Server Start,Successful
4/19/2024, 6:25:54 PM,Server Start,Successful
4/19/2024, 6:26:40 PM,Server Start,Successful
4/19/2024, 6:27:39 PM,Server Shutdown,Successful
4/19/2024, 6:29:12 PM,Server Start,Successful
4/19/2024, 6:33:50 PM,Server Shutdown,Successful
4/19/2024, 6:33:50 PM,Server Shutdown,Successful
4/19/2024, 6:34:05 PM,Server Start,Successful
4/19/2024, 6:40:10 PM,Server Start,Successful
4/19/2024, 6:40:16 PM,Server Shutdown,Successful
4/19/2024, 6:40:16 PM,Server Shutdown,Successful
4/19/2024, 6:40:16 PM,Server Shutdown,Successful
